timestamp,city,temperature,humidity,weather
2025-02-13 11:57:05,Dumaguete,29,74,Light rain
2025-02-13 11:58:06,Dumaguete,29,74,Light rain
2025-02-13 12:00:03,Dumaguete,29,74,Light rain
2025-02-13 12:01:04,Dumaguete,29,74,Light rain
2025-02-13 14:43:50,Dumaguete,29,70,Scattered clouds
2025-02-13 14:44:52,Dumaguete,29,70,Scattered clouds
2025-02-13 14:46:08,Pasig,32,62,Light rain
2025-02-13 14:47:10,Pasig,32,62,Light rain
2025-02-13 14:48:06,Davao,29,70,Clear sky
2025-02-13 14:49:08,Davao,29,70,Clear sky
